Dhid,East,North,Elev,TD,Exp_Line,Year
1000,6815.933,66937.941,852.650,71.000,19_s,1958-1961
1001,6473.343,67077.553,841.880,100.100,20_s,1958-1961
1002,3470.251,65592.562,814.790,96.600,30-31_s,1958-1961
1003,4789.455,66113.990,827.930,133.300,27_s,1958-1961
1004,5661.638,68151.575,802.490,98.700,21_n,1958-1961
1005,6355.767,67296.979,832.390,161.000,20_s,1958-1961
1006,4895.895,65922.014,830.070,67.700,27_s,1958-1961
1007,6269.265,66911.367,843.100,108.100,21_s,1958-1961
1008,6123.797,67211.873,831.830,172.000,21_s,1958-1961
1009,6123.146,66648.646,843.180,77.200,22_s,1958-1961
1010,8331.826,68146.881,822.520,100.000,10_n,1958-1961
1011,5971.963,67530.459,818.940,184.000,21_s,1958-1961
1012,8601.622,68125.505,823.950,89.600,9_n,1958-1961
1013,8465.255,68137.384,823.340,98.000,9-10_n,1958-1961
1014,8507.161,68045.765,826.030,128.400,9-10_n,1958-1961
1015,5999.401,66892.350,837.080,137.500,22_s,1958-1961
1016,7607.383,67641.047,824.420,110.300,14_s,1958-1961
1017,5813.230,66683.788,839.840,131.600,23_s,1958-1961
1018,7978.103,68203.252,818.220,85.600,12_n,1958-1961
1019,3563.384,65794.662,812.970,111.000,30_s,1958-1961
1020,5904.450,66501.857,843.130,59.000,23_s,1958-1961
1021,5520.531,67321.628,820.020,180.300,23_n,1958-1961
1022,5665.356,67003.849,830.490,163.000,23_s,1958-1961
1023,5368.245,68193.986,800.860,63.000,22_n,1958-1961
1024,6290.279,68504.219,804.910,61.200,19_n,1958-1961
1025,5628.541,68213.227,802.400,81.000,21_n,1958-1961
1026,6449.990,68510.74,805.950,60.600,18-19_n,1958-1961
1026d,6451.69,68507.12,805.84,60.00,18-19_n,1977
1027,5815.261,68399.579,802.990,55.000,20_n,1958-1961
1028,6612.185,68517.06,807.200,59.200,18_n,1958-1961
1028d,6617.78,68515.73,806.85,60.00,18_n,1977
1029,5593.200,68275.980,801.860,61.700,21_n,1958-1961
1029d,5594.32,68276.13,801.48,61.700,21_n,1977
1030,6842.687,68315.991,809.380,96.100,17-18_n,1958-1961
1030a,6848.53,68346.35,808.96,65.00,17-18_n,1977
1031,6850.903,68082.453,811.110,125.500,17-18_n,1958-1961
1032,6850.471,67831.334,815.420,138.000,17-18_n,1958-1961
1033,6116.738,68284.898,804.660,95.100,19-20_n,1958-1961
1034,6475.433,67718.937,816.670,168.200,19_n,1958-1961
1035,6072.779,68406.148,804.240,70.000,19-20_n,1958-1961
1036,6474.846,68259.539,807.370,88.000,18-19_n,1958-1961
1037,7192.640,68379.176,810.850,85.000,16_n,1958-1961
1037a,7194.17,68382.80,810.60,57.60,16_n,1977
1038,7061.510,68420.624,810.240,84.400,17_n,1958-1961
1038d,7066.04,68424.26,809.87,58.20,17_n,1977
1039,7465.148,68256.981,813.540,80.000,14-15_n,1958-1961
1040,7177.425,67982.891,813.940,119.500,16_n,1958-1961
1042,7797.502,68180.219,816.820,87.500,13_n,1958-1961
1042d,7797.64,68183.27,816.820,76.80,13_n,1977
1043,8128.386,68146.212,820.830,100.400,11_n,1958-1961
1044,7970.206,67904.863,822.920,139.700,12_n,1958-1961
1045,3657.164,65543.858,818.500,78.000,30_s,1958-1961
1046,3853.894,65614.288,820.440,79.700,29-30_s,1958-1961
1047,8771.419,68051.589,828.560,102.000,8-9_n,1958-1961
1048,6867.591,66837.885,857.190,41.400,19_s,1958-1961
1049,8893.857,68065.519,828.680,89.000,8_n,1958-1961
1050,4019.087,65774.701,818.170,78.000,29_s,1958-1961
1051,6961.750,66921.000,856.230,48.400,18-19_s,1958-1961
1051d,6967.93,66911.50,856.26,48.00,18-19_s,1977
1052,7065.645,67016.667,857.890,57.500,18_s,1958-1961
1053,9027.522,68072.740,829.460,84.700,7-8_n,1958-1961
1054,7266.080,67014.898,852.950,42.300,17_s,1958-1961
1055,9267.253,68172.798,827.900,70.000,6-7_n,1958-1961
1056,7374.452,67111.713,847.540,46.300,16_s,1958-1961
1057,9366.878,68252.125,826.840,57.000,6_n,1958-1961
1058,10134.656,67984.190,838.810,103.300,3-4_s,1958-1961
1059,9494.641,68296.232,826.460,53.000,5-6_n,1958-1961
1060,9626.431,68339.353,826.490,49.300,5_n,1958-1961
1061,10047.700,67899.045,847.850,114.200,4_s,1958-1961
1062,9733.515,68375.171,826.140,57.000,4-5_n,1958-1961
1063,9930.984,67866.783,852.380,124.500,4-5_s,1958-1961
1064,9824.546,67836.367,858.070,134.700,5_s,1958-1961
1065,9327.082,67556.566,879.810,87.300,7-8_s,1958-1961
1066,9170.368,67576.592,862.360,86.300,8_s,1958-1961
1067,8974.709,67666.232,848.010,79.000,8-9_s,1958-1961
1068,8786.060,67464.966,850.650,92.000,9-10_s,1958-1961
1069,9024.854,67576.608,853.510,76.100,8-9_s,1958-1961
1070,9487.896,67549.343,902.940,117.300,7_s,1958-1961
1071,10078.229,67825.508,854.620,117.000,4_s,1958-1961
1072,9869.648,67715.321,878.330,133.200,5_s,1958-1961
1073,9642.372,67655.291,892.100,121.000,6_s,1958-1961
1074,10302.309,67890.123,841.530,96.000,3_s,1958-1961
1075,10118.045,67723.298,865.880,104.700,4_s,1958-1961
1077,9857.240,68388.152,827.150,65.400,4_n,1958-1961
1078,9555.366,68161.055,831.060,59.100,5-6_n,1958-1961
1081,9979.759,68424.222,827.720,64.400,3-4_n,1958-1961
1082,8728.284,67265.148,854.580,61.800,10_s,1958-1961
1083,8510.170,67307.930,847.370,68.000,10-11_s,1958-1961
1083d,8494.91,67317.94,847.00,62.4,10-11_s,1977
1084,8832.880,67374.308,853.640,69.600,9-10_s,1958-1961
1085,8476.360,67403.845,843.620,89.000,10-11_s,1958-1961
1086,7917.16,67225.22,842.640,51.600,13_s,1958-1961
1086a,7910.19,67230.76,842.450,55.90,13_s,1977
1087,7500.106,67064.882,850.210,31.000,15_s,1958-1961
1088,8065.542,67203.533,844.840,43.500,12_s,1958-1961
1089,7765.99,67189.72,843.560,41.500,14_s,1958-1961
1089d,7765.87,67192.33,843.24,41.84,14_s,1977
1090,6568.59,66904.63,848.83,77.400,20_s,1958-1961
1090k,6568.87,66911.56,848.56,77.40,20_s,1977
1091,6336.180,66774.732,846.320,64.000,21_s,1958-1961
1092,5857.137,66595.142,841.730,88.000,23_s,1958-1961
1093,6673.695,67239.872,836.840,81.000,19_s,1958-1961
1093d,6663.94,67250.39,836.11,46.000,19_s,1977
1094,6195.096,67066.945,838.110,141.000,21_s,1958-1961
1095,6441.357,67129.248,839.580,56.100,20_s,1958-1961
1096,5154.139,68074.865,800.140,71.700,23_n,1958-1961
1097,5458.260,66856.958,831.910,153.500,24_s,1958-1961
1098,5110.064,68166.594,799.470,48.800,23_n,1958-1961
1099,4646.777,67884.922,800.610,48.500,25_n,1958-1961
1100,5475.496,67965.795,804.430,139.300,22_n,1958-1961
1101,4918.321,67981.452,799.570,48.000,24_n,1958-1961
1101d,4917.93,67980.43,799.74,48.000,24_n,1977
1102,5370.365,67637.231,809.900,183.200,23_n,1958-1961
1103,7401.362,67535.297,826.970,87.000,15_s,1958-1961
1104,3128.650,66890.394,797.620,120.000,30_n,1958-1961
1105,4899.140,67350.810,810.060,185.500,25_n,1958-1961
1106,6608.787,66825.883,851.480,65.000,20_s,1958-1961
1107,2019.160,65109.670,804.150,91.500,35_s,1958-1961
1107a,2032.56,65113.37,804.93,70.10,35_s,1977
1108,5567.783,66623.154,838.340,136.100,24_s,1958-1961
1109,4411.373,67651.680,801.310,61.200,26_n,1958-1961
1110,4056.225,67457.305,801.470,73.300,27_n,1958-1961
1111,5688.676,66367.309,840.820,52.500,24_s,1958-1961
1112,5307.938,66557.082,831.270,136.100,25_s,1958-1961
1113,5186.441,66776.432,827.270,154.600,25_s,1958-1961
1114,5465.706,66291.327,825.740,54.000,25_s,1958-1961
1114d,5465.64,66292.25,825.99,54.10,25_s,1977
1115,5240.680,66202.233,822.000,57.500,26_s,1958-1961
1115d,5237.45,66190.22,822.39,51.00,26_s,1977
1116,5047.579,66098.278,828.680,97.500,26-27_s,1958-1961
1117,4849.628,66005.003,829.420,81.200,27_s,1958-1961
1117d,4849.11,66004.99,829.85,73.40,27_s,1977
1118,4704.020,66267.127,825.380,134.000,27_s,1958-1961
1119,3293.493,67340.281,796.260,46.800,29_n,1958-1961
1120,2806.649,66913.955,794.160,110.100,31_n,1958-1961
1121,4699.284,67771.982,802.300,82.600,25_n,1958-1961
1122,4636.807,65927.479,827.160,75.600,27-28_s,1958-1961
1122d,4634.46,65923.86,827.66,63.80,27-28_s,1977
1123,3747.508,67219.91,801.110,96.80,28_n,1973-1975
1123k,3746.89,67215.93,801.02,101.00,28_n,1977
1124,4433.678,65843.677,824.300,67.000,28_s,1958-1961
1125,5258.233,67857.560,804.230,151.300,23_n,1958-1961
1126,4226.775,65808.673,820.850,74.400,28-29_s,1958-1961
1127,4665.824,67111.475,807.810,182.200,26_n,1958-1961
1128,3390.517,65364.591,818.390,74.000,31_s,1958-1961
1128d,3395.21,65365.71,818.38,66.50,31_s,1977
1129,2750.310,65182.990,812.660,63.800,33_s,1958-1961
1129a,2757.98,65190.05,812.48,65.20,33_s,1977
1130,2216.791,65543.756,800.550,121.200,34_s,1958-1961
1131,3858.846,66106.387,812.210,152.800,29_s,1958-1961
1132,4473.440,67515.933,802.820,110.100,26_n,1958-1961
1133,4922.431,66739.232,818.080,151.400,26_s,1958-1961
1134,1839.00,65071.71,808.68,107.00,35-36_s,1958-1961
190,3081.701,67001.046,796.290,96.300,30_n,1958-1961
199,7228.858,67555.435,825.540,99.000,16_s,1958-1961
200,3452.487,66093.671,808.100,150.000,30_s,1958-1961
2001,2112.730,65365.271,801.210,102.000,34-35_s,1973-1975
2002,2149.047,65300.794,802.530,93.500,34-35_s,1973-1975
2003,2197.641,65216.153,803.870,81.000,34-35_s,1973-1975
2004,2276.404,65415.495,802.090,93.700,34_s,1973-1975
2005,2459.612,65449.691,804.200,99.000,33-34_s,1973-1975
2006,2493.671,65376.145,805.700,86.800,33-34_s,1973-1975
2007,2558.481,65242.040,808.220,75.200,33-34_s,1973-1975
2008,2657.066,65413.761,807.870,95.800,33_s,1973-1975
2009,2834.575,65411.014,809.990,90.000,32-33_s,1973-1975
201,9132.397,68211.028,824.830,57.400,7_n,1958-1961
2010,2895.320,65278.677,813.230,77.800,32-33_s,1973-1975
2011,2914.528,65215.040,814.280,71.000,32-33_s,1973-1975
2012,2893.175,65682.107,807.360,121.800,32_s,1973-1975
2013,2961.046,65538.178,810.200,103.200,32_s,1973-1975
2014,3135.996,65584.612,811.030,97.000,31-32_s,1973-1975
2015,3195.664,65434.748,814.680,102.500,31-32_s,1973-1975
2016,3229.677,65340.820,816.510,84.200,31-32_s,1973-1975
2017,3290.899,65642.719,812.160,103.000,31_s,1973-1975
2018,3524.601,65459.964,817.690,76.600,30-31_s,1973-1975
2019,3433.527,65721.971,812.140,111.700,30-31_s,1973-1975
202,4540.139,67380.992,805.110,164.000,26_n,1958-1961
2020,3756.251,65855.075,814.820,110.000,29-30_s,1973-1975
